what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1489877818065
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1489877818066
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1489877818066
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1489877818067
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1489877818068
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1489877818142
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1489877818174
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1489877818175
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1489877818176
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1489877818211
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1489877818212
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1489877818248
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1489877818285
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1489877818302
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1489877818334
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1489877818335
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1489877818335
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1489877818336
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1489877818337
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1489877818337
os,sysinfo,,,"win32",1489877818340
arch,sysinfo,,,"x86",1489877818340
ws,sysinfo,,,"win32",1489877818340
locale,sysinfo,,,"fr_FR",1489877818340
processors,sysinfo,,,"2",1489877818340
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1489877818340
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1489877818340
java.specification.name,sysinfo,,,"Java Platform API Specification",1489877818340
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1489877818340
java.specification.version,sysinfo,,,"1.6",1489877818340
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1489877818340
java.version,sysinfo,,,"1.6.0_23",1489877818340
java.vm.info,sysinfo,,,"mixed mode",1489877818340
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1489877818340
